,都道府県名,市区町村名,大字町丁目名,住所コード,"都道府県+
市区町村",大字・町,丁目,,市区町村コード,"大字町丁目
コード",Bゾーンコード,,,Bゾーン名称,,1.買物・娯楽施設,2.交通・物流施設,3.公共施設,4.その他,*
,岡山県,津山市,中北上,33203 118 00,33203,118,00,,33203,332030118000,33,203,12,津山市１２区,,,,,,*
,岡山県,津山市,中北下,33203 119 00,33203,119,00,,33203,332030119000,33,203,12,津山市１２区,,,,津山市役所久米支所,,*
,岡山県,津山市,中島,33203 120 00,33203,120,00,,33203,332030120000,33,203,07,津山市７区,,,,,,*
,岡山県,津山市,中之町,33203 121 00,33203,121,00,,33203,332030121000,33,203,02,津山市２区,,作州城東屋敷,,,,*
,岡山県,津山市,中原,33203 122 00,33203,122,00,,33203,332030122000,33,203,03,津山市３区,,,,,,*
,岡山県,津山市,中村,33203 123 00,33203,123,00,,33203,332030123000,33,203,11,津山市１１区,,,,,,*
,岡山県,津山市,楢,33203 124 00,33203,124,00,,33203,332030124000,33,203,04,津山市４区,,,,,,*
,岡山県,津山市,新田,33203 125 00,33203,125,00,,33203,332030125000,33,203,03,津山市３区,,,,,,*
,岡山県,津山市,新野東,33203 126 00,33203,126,00,,33203,332030126000,33,203,11,津山市１１区,,,,津山市役所勝北支所,,*
,岡山県,津山市,新野山形,33203 127 00,33203,127,00,,33203,332030127000,33,203,11,津山市１１区,,,,,,*
,岡山県,津山市,二階町,33203 128 00,33203,128,00,,33203,332030128000,33,203,01,津山市１区,,,,,,*
,岡山県,津山市,西今町,33203 129 00,33203,129,00,,33203,332030129000,33,203,01,津山市１区,,,,,,*
,岡山県,津山市,西上,33203 130 00,33203,130,00,,33203,332030130000,33,203,11,津山市１１区,,,,,,*
,岡山県,津山市,西下,33203 131 00,33203,131,00,,33203,332030131000,33,203,11,津山市１１区,,,,,,*
,岡山県,津山市,西新町,33203 132 00,33203,132,00,,33203,332030132000,33,203,02,津山市２区,,,,,,*
,岡山県,津山市,西田辺,33203 133 00,33203,133,00,,33203,332030133000,33,203,05,津山市５区,,,,,,*
,岡山県,津山市,西寺町,33203 134 00,33203,134,00,,33203,332030134000,33,203,01,津山市１区,,,,,,*
,岡山県,津山市,西中,33203 135 00,33203,135,00,,33203,332030135000,33,203,11,津山市１１区,,,,,,*
,岡山県,津山市,西吉田,33203 136 00,33203,136,00,,33203,332030136000,33,203,03,津山市３区,,,,,,*
,岡山県,津山市,二宮,33203 137 00,33203,137,00,,33203,332030137000,33,203,06,津山市６区,,ウエストランド,グンゼ（株）津山工場、ＪＲ院庄駅、中国道二宮ＰＡ,,,*
,岡山県,津山市,日本原,33203 138 00,33203,138,00,,33203,332030138000,33,203,11,津山市１１区,,,,,,*
,岡山県,津山市,沼,33203 139 00,33203,139,00,,33203,332030139000,33,203,05,津山市５区,,,,,,*
,岡山県,津山市,野介代,33203 140 00,33203,140,00,,33203,332030140000,33,203,04,津山市４区,,,ＪＲ三浦駅、ＪＲ美作滝尾駅、ＪＲ高野駅,,,*
,岡山県,津山市,野村,33203 141 00,33203,141,00,,33203,332030141000,33,203,04,津山市４区,,,,,,*
,岡山県,津山市,林田,33203 142 00,33203,142,00,,33203,332030142000,33,203,02,津山市２区,,,,,,*
,岡山県,津山市,林田町,33203 143 00,33203,143,00,,33203,332030143000,33,203,02,津山市２区,,,,,,*
,岡山県,津山市,橋本町,33203 144 00,33203,144,00,,33203,332030144000,33,203,02,津山市２区,,,,,,*
,岡山県,津山市,原,33203 145 00,33203,145,00,,33203,332030145000,33,203,11,津山市１１区,,,,,,*
,岡山県,津山市,東一宮,33203 146 00,33203,146,00,,33203,332030146000,33,203,05,津山市５区,,,,,,*
,岡山県,津山市,東新町,33203 147 00,33203,147,00,,33203,332030147000,33,203,02,津山市２区,,津山鶴山ホテル,,,,*
,岡山県,津山市,東田辺,33203 148 00,33203,148,00,,33203,332030148000,33,203,05,津山市５区,,,,,,*
,岡山県,津山市,日上,33203 149 00,33203,149,00,,33203,332030149000,33,203,03,津山市３区,,,,,,*
,岡山県,津山市,平福,33203 150 00,33203,150,00,,33203,332030150000,33,203,07,津山市７区,,コメリホームセンター津山店・本館,,,,*
,岡山県,津山市,吹屋町,33203 151 00,33203,151,00,,33203,332030151000,33,203,01,津山市１区,,,,,,*
,岡山県,津山市,福井,33203 152 00,33203,152,00,,33203,332030152000,33,203,03,津山市３区,,,,,,*
,岡山県,津山市,福田,33203 153 00,33203,153,00,,33203,332030153000,33,203,07,津山市７区,,,ＪＲ佐良山駅,,,*
,岡山県,津山市,福田下,33203 154 00,33203,154,00,,33203,332030154000,33,203,12,津山市１２区,,,,,,*
,岡山県,津山市,福力,33203 155 00,33203,155,00,,33203,332030155000,33,203,03,津山市３区,,,,,,*
,岡山県,津山市,福渡町,33203 156 00,33203,156,00,,33203,332030156000,33,203,01,津山市１区,,,,,,*
,岡山県,津山市,伏見町,33203 157 00,33203,157,00,,33203,332030157000,33,203,01,津山市１区,,,,,,*
,岡山県,津山市,堀坂,33203 158 00,33203,158,00,,33203,332030158000,33,203,04,津山市４区,,,,,,*
,岡山県,津山市,本町二丁目,33203 159 02,33203,159,02,,33203,332030159002,33,203,01,津山市１区,,,,,,*
,岡山県,津山市,本町三丁目,33203 159 03,33203,159,03,,33203,332030159003,33,203,01,津山市１区,,,,,,*
,岡山県,津山市,三浦,33203 160 00,33203,160,00,,33203,332030160000,33,203,04,津山市４区,,,,,,*
,岡山県,津山市,南方中,33203 161 00,33203,161,00,,33203,332030161000,33,203,12,津山市１２区,,,,,,*
,岡山県,津山市,南新座,33203 162 00,33203,162,00,,33203,332030162000,33,203,01,津山市１区,,,,,,*
,岡山県,津山市,南町一丁目,33203 163 01,33203,163,01,,33203,332030163001,33,203,08,津山市８区,,,,,,*
,岡山県,津山市,美濃町,33203 164 00,33203,164,00,,33203,332030164000,33,203,01,津山市１区,,,,,,*
,岡山県,津山市,宮尾,33203 165 00,33203,165,00,,33203,332030165000,33,203,12,津山市１２区,,,道の駅久米の里,,,*
,岡山県,津山市,宮部上,33203 166 00,33203,166,00,,33203,332030166000,33,203,12,津山市１２区,,,,,,*
,岡山県,津山市,宮部下,33203 167 00,33203,167,00,,33203,332030167000,33,203,12,津山市１２区,,,,,,*
,岡山県,津山市,宮脇町,33203 168 00,33203,168,00,,33203,332030168000,33,203,01,津山市１区,,,,,,*
,岡山県,津山市,妙原,33203 169 00,33203,169,00,,33203,332030169000,33,203,04,津山市４区,,,,,,*
,岡山県,津山市,元魚町,33203 170 00,33203,170,00,,33203,332030170000,33,203,01,津山市１区,,,,,,*
,岡山県,津山市,籾保,33203 171 00,33203,171,00,,33203,332030171000,33,203,05,津山市５区,,,,,,*
,岡山県,津山市,八出,33203 172 00,33203,172,00,,33203,332030172000,33,203,08,津山市８区,,,,岡山県作陽高等学校,,*
,岡山県,津山市,八社,33203 173 00,33203,173,00,,33203,332030173000,33,203,12,津山市１２区,,,,,,*
,岡山県,津山市,安井,33203 174 00,33203,174,00,,33203,332030174000,33,203,11,津山市１１区,,,,,,*
,岡山県,津山市,安岡町,33203 175 00,33203,175,00,,33203,332030175000,33,203,01,津山市１区,,,,,,*
,岡山県,津山市,山方,33203 176 00,33203,176,00,,33203,332030176000,33,203,05,津山市５区,,,,,,*
,岡山県,津山市,山北,33203 177 00,33203,177,00,,33203,332030177000,33,203,01,津山市１区,,,,津山市役所、津山中央公園,,*
,岡山県,津山市,弥生町,33203 178 00,33203,178,00,,33203,332030178000,33,203,05,津山市５区,,,,,,*
,岡山県,津山市,油木上,33203 179 00,33203,179,00,,33203,332030179000,33,203,12,津山市１２区,,,,,,*
,岡山県,津山市,油木北,33203 180 00,33203,180,00,,33203,332030180000,33,203,12,津山市１２区,,,,,,*
,岡山県,津山市,油木下,33203 181 00,33203,181,00,,33203,332030181000,33,203,12,津山市１２区,,,,,,*
,岡山県,津山市,横山,33203 182 00,33203,182,00,,33203,332030182000,33,203,08,津山市８区,,,,,,*
,岡山県,津山市,吉見,33203 183 00,33203,183,00,,33203,332030183000,33,203,04,津山市４区,,,,,,*
,岡山県,津山市,領家,33203 184 00,33203,184,00,,33203,332030184000,33,203,12,津山市１２区,,,,,,*
,岡山県,玉野市,石島,33204 001 00,33204,001,00,,33204,332040001000,33,204,05,玉野市５区,,,,,,*
,岡山県,玉野市,宇藤木,33204 002 00,33204,002,00,,33204,332040002000,33,204,04,玉野市４区,,,,,,*
,岡山県,玉野市,宇野一丁目,33204 003 01,33204,003,01,,33204,332040003001,33,204,03,玉野市３区,,天満屋ハピータウン玉野店,,玉野市役所、玉野郵便局,,*
,岡山県,玉野市,宇野二丁目,33204 003 02,33204,003,02,,33204,332040003002,33,204,03,玉野市３区,,,,,,*
,岡山県,玉野市,宇野三丁目,33204 003 03,33204,003,03,,33204,332040003003,33,204,03,玉野市３区,,,,,,*
,岡山県,玉野市,宇野四丁目,33204 003 04,33204,003,04,,33204,332040003004,33,204,03,玉野市３区,,,,,,*
,岡山県,玉野市,宇野五丁目,33204 003 05,33204,003,05,,33204,332040003005,33,204,03,玉野市３区,,,,,,*
,岡山県,玉野市,宇野六丁目,33204 003 06,33204,003,06,,33204,332040003006,33,204,03,玉野市３区,,,,,,*
,岡山県,玉野市,宇野七丁目,33204 003 07,33204,003,07,,33204,332040003007,33,204,03,玉野市３区,,,,,,*
,岡山県,玉野市,宇野八丁目,33204 003 08,33204,003,08,,33204,332040003008,33,204,03,玉野市３区,,,,,,*
,岡山県,玉野市,大藪,33204 004 00,33204,004,00,,33204,332040004000,33,204,02,玉野市２区,,,,,,*
,岡山県,玉野市,奥玉一丁目,33204 005 01,33204,005,01,,33204,332040005001,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,奥玉二丁目,33204 005 02,33204,005,02,,33204,332040005002,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,奥玉三丁目,33204 005 03,33204,005,03,,33204,332040005003,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,御崎一丁目,33204 006 01,33204,006,01,,33204,332040006001,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,御崎二丁目,33204 006 02,33204,006,02,,33204,332040006002,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,梶岡,33204 007 00,33204,007,00,,33204,332040007000,33,204,05,玉野市５区,,,,,,*
,岡山県,玉野市,上山坂,33204 008 00,33204,008,00,,33204,332040008000,33,204,05,玉野市５区,,,,,,*
,岡山県,玉野市,北方,33204 009 00,33204,009,00,,33204,332040009000,33,204,05,玉野市５区,,,,玉野市立東児中学校,,*
,岡山県,玉野市,後閑,33204 010 00,33204,010,00,,33204,332040010000,33,204,02,玉野市２区,,,,,,*
,岡山県,玉野市,小島地,33204 011 00,33204,011,00,,33204,332040011000,33,204,04,玉野市４区,,,,,,*
,岡山県,玉野市,渋川一丁目,33204 012 01,33204,012,01,,33204,332040012001,33,204,04,玉野市４区,,,ＪＲ常山駅,,,*
,岡山県,玉野市,渋川二丁目,33204 012 02,33204,012,02,,33204,332040012002,33,204,04,玉野市４区,,,,,渋川海岸,*
,岡山県,玉野市,渋川三丁目,33204 012 03,33204,012,03,,33204,332040012003,33,204,04,玉野市４区,,,,,,*
,岡山県,玉野市,渋川四丁目,33204 012 04,33204,012,04,,33204,332040012004,33,204,04,玉野市４区,,,,,,*
,岡山県,玉野市,下山坂,33204 013 00,33204,013,00,,33204,332040013000,33,204,05,玉野市５区,,東児が丘マリンヒルズゴルフクラブ,,,,*
,岡山県,玉野市,田井一丁目,33204 014 01,33204,014,01,,33204,332040014001,33,204,02,玉野市２区,,,ＪＲ備前田井駅,,,*
,岡山県,玉野市,田井二丁目,33204 014 02,33204,014,02,,33204,332040014002,33,204,02,玉野市２区,,,道の駅みやま公園,,,*
,岡山県,玉野市,田井三丁目,33204 014 03,33204,014,03,,33204,332040014003,33,204,02,玉野市２区,,,,玉野市立田井小学校,,*
,岡山県,玉野市,田井四丁目,33204 014 04,33204,014,04,,33204,332040014004,33,204,02,玉野市２区,,,,,,*
,岡山県,玉野市,田井五丁目,33204 014 05,33204,014,05,,33204,332040014005,33,204,02,玉野市２区,,,,,,*
,岡山県,玉野市,田井六丁目,33204 014 06,33204,014,06,,33204,332040014006,33,204,02,玉野市２区,,,宇野港（田井地区）,,,*
,岡山県,玉野市,滝,33204 015 00,33204,015,00,,33204,332040015000,33,204,04,玉野市４区,,瀬戸大橋カントリークラブ,,,,*
,岡山県,玉野市,玉一丁目,33204 016 01,33204,016,01,,33204,332040016001,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,玉二丁目,33204 016 02,33204,016,02,,33204,332040016002,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,玉三丁目,33204 016 03,33204,016,03,,33204,332040016003,33,204,01,玉野市１区,,,,玉野三井病院,,*
,岡山県,玉野市,玉四丁目,33204 016 04,33204,016,04,,33204,332040016004,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,玉五丁目,33204 016 05,33204,016,05,,33204,332040016005,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,玉六丁目,33204 016 06,33204,016,06,,33204,332040016006,33,204,01,玉野市１区,,,,玉野商業高等学校,,*
,岡山県,玉野市,玉原一丁目,33204 017 01,33204,017,01,,33204,332040017001,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,玉原二丁目,33204 017 02,33204,017,02,,33204,332040017002,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,玉原三丁目,33204 017 03,33204,017,03,,33204,332040017003,33,204,01,玉野市１区,,,,玉野市民総合運動公園,,*
,岡山県,玉野市,築港一丁目,33204 018 01,33204,018,01,,33204,332040018001,33,204,03,玉野市３区,,,宇野港（日比地区）、ＪＲ宇野駅、宇野港（宇野地区）,,,*
,岡山県,玉野市,築港二丁目,33204 018 02,33204,018,02,,33204,332040018002,33,204,03,玉野市３区,,,,,,*
,岡山県,玉野市,築港三丁目,33204 018 03,33204,018,03,,33204,332040018003,33,204,03,玉野市３区,,,,岡山県立玉野高等学校,,*
,岡山県,玉野市,築港四丁目,33204 018 04,33204,018,04,,33204,332040018004,33,204,03,玉野市３区,,,,,,*
,岡山県,玉野市,築港五丁目,33204 018 05,33204,018,05,,33204,332040018005,33,204,03,玉野市３区,,玉野競輪場,,日之出公園,,*
,岡山県,玉野市,槌ケ原,33204 019 00,33204,019,00,,33204,332040019000,33,204,04,玉野市４区,,,,,,*
,岡山県,玉野市,永井,33204 020 00,33204,020,00,,33204,332040020000,33,204,04,玉野市４区,,,,,,*
,岡山県,玉野市,長尾,33204 021 00,33204,021,00,,33204,332040021000,33,204,04,玉野市４区,,,,玉野荘内郵便局,,*
,岡山県,玉野市,西田井地,33204 022 00,33204,022,00,,33204,332040022000,33,204,05,玉野市５区,,,,,,*
,岡山県,玉野市,沼,33204 023 00,33204,023,00,,33204,332040023000,33,204,02,玉野市２区,,,,,,*
,岡山県,玉野市,迫間,33204 024 00,33204,024,00,,33204,332040024000,33,204,04,玉野市４区,,,,,,*
,岡山県,玉野市,八浜町大崎,33204 025 00,33204,025,00,,33204,332040025000,33,204,02,玉野市２区,,,,,,*
,岡山県,玉野市,八浜町波知,33204 026 00,33204,026,00,,33204,332040026000,33,204,02,玉野市２区,,,,,,*
,岡山県,玉野市,八浜町八浜,33204 027 00,33204,027,00,,33204,332040027000,33,204,02,玉野市２区,,,,,,*
,岡山県,玉野市,八浜町見石,33204 028 00,33204,028,00,,33204,332040028000,33,204,02,玉野市２区,,,,,,*
,岡山県,玉野市,羽根崎町,33204 029 00,33204,029,00,,33204,332040029000,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,番田,33204 030 00,33204,030,00,,33204,332040030000,33,204,05,玉野市５区,,,,,,*
,岡山県,玉野市,東紅陽台一丁目,33204 031 01,33204,031,01,,33204,332040031001,33,204,04,玉野市４区,,,,,,*
,岡山県,玉野市,東紅陽台二丁目,33204 031 02,33204,031,02,,33204,332040031002,33,204,04,玉野市４区,,,,,,*
,岡山県,玉野市,東田井地,33204 032 00,33204,032,00,,33204,332040032000,33,204,05,玉野市５区,,,,,,*
,岡山県,玉野市,東高崎,33204 033 00,33204,033,00,,33204,332040033000,33,204,04,玉野市４区,,,,,,*
,岡山県,玉野市,東七区,33204 034 00,33204,034,00,,33204,332040034000,33,204,02,玉野市２区,,,,,,*
,岡山県,玉野市,東野崎,33204 035 00,33204,035,00,,33204,332040035000,33,204,02,玉野市２区,,,,,,*
,岡山県,玉野市,日比一丁目,33204 036 01,33204,036,01,,33204,332040036001,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,日比二丁目,33204 036 02,33204,036,02,,33204,332040036002,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,日比三丁目,33204 036 03,33204,036,03,,33204,332040036003,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,日比四丁目,33204 036 04,33204,036,04,,33204,332040036004,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,日比五丁目,33204 036 05,33204,036,05,,33204,332040036005,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,日比六丁目,33204 036 06,33204,036,06,,33204,332040036006,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,日比七丁目,33204 036 07,33204,036,07,,33204,332040036007,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,広岡,33204 037 00,33204,037,00,,33204,332040037000,33,204,04,玉野市４区,,,,,,*
,岡山県,玉野市,深井町,33204 038 00,33204,038,00,,33204,332040038000,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,南七区,33204 039 00,33204,039,00,,33204,332040039000,33,204,02,玉野市２区,,,,,,*
,岡山県,玉野市,明神町,33204 040 00,33204,040,00,,33204,332040040000,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,向日比一丁目,33204 041 01,33204,041,01,,33204,332040041001,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,向日比二丁目,33204 041 02,33204,041,02,,33204,332040041002,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,胸上,33204 042 00,33204,042,00,,33204,332040042000,33,204,05,玉野市５区,,,,,,*
,岡山県,玉野市,木目,33204 043 00,33204,043,00,,33204,332040043000,33,204,04,玉野市４区,,,,,,*
,岡山県,玉野市,用吉,33204 044 00,33204,044,00,,33204,332040044000,33,204,04,玉野市４区,,,,,玉野自動車教習所,*
,岡山県,玉野市,山田,33204 045 00,33204,045,00,,33204,332040045000,33,204,02,玉野市２区,,,,,,*
,岡山県,玉野市,和田一丁目,33204 046 01,33204,046,01,,33204,332040046001,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,和田二丁目,33204 046 02,33204,046,02,,33204,332040046002,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,和田三丁目,33204 046 03,33204,046,03,,33204,332040046003,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,和田四丁目,33204 046 04,33204,046,04,,33204,332040046004,33,204,01,玉野市１区,,,,備南高等学校,,*
,岡山県,玉野市,和田五丁目,33204 046 05,33204,046,05,,33204,332040046005,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,和田六丁目,33204 046 06,33204,046,06,,33204,332040046006,33,204,01,玉野市１区,,,,,,*
,岡山県,玉野市,和田七丁目,33204 046 07,33204,046,07,,33204,332040046007,33,204,01,玉野市１区,,,,,,*
,岡山県,笠岡市,相生,33205 001 00,33205,001,00,,33205,332050001000,33,205,02,笠岡市２区,,,,,,*
,岡山県,笠岡市,旭が丘,33205 002 00,33205,002,00,,33205,332050002000,33,205,02,笠岡市２区,,,,,,*
,岡山県,笠岡市,有田,33205 003 00,33205,003,00,,33205,332050003000,33,205,02,笠岡市２区,,,,,,*
,岡山県,笠岡市,一番町,33205 004 00,33205,004,00,,33205,332050004000,33,205,01,笠岡市１区,,,,,,*
,岡山県,笠岡市,今立,33205 005 00,33205,005,00,,33205,332050005000,33,205,01,笠岡市１区,,,,笠岡市立今井小学校,,*
,岡山県,笠岡市,入江,33205 006 00,33205,006,00,,33205,332050006000,33,205,04,笠岡市４区,,,,,,*
,岡山県,笠岡市,絵師,33205 007 00,33205,007,00,,33205,332050007000,33,205,01,笠岡市１区,,,,,,*
,岡山県,笠岡市,生江浜,33205 008 00,33205,008,00,,33205,332050008000,33,205,02,笠岡市２区,,,,,,*
,岡山県,笠岡市,大井南,33205 009 00,33205,009,00,,33205,332050009000,33,205,02,笠岡市２区,,,,,,*
,岡山県,笠岡市,大宜,33205 010 00,33205,010,00,,33205,332050010000,33,205,02,笠岡市２区,,,,,,*
,岡山県,笠岡市,大河,33205 011 00,33205,011,00,,33205,332050011000,33,205,02,笠岡市２区,,,,,,*
,岡山県,笠岡市,大島中,33205 012 00,33205,012,00,,33205,332050012000,33,205,04,笠岡市４区,,,,,,*
,岡山県,笠岡市,尾坂,33205 013 00,33205,013,00,,33205,332050013000,33,205,03,笠岡市３区,,笠岡カントリー倶楽部,,,,*
,岡山県,笠岡市,押撫,33205 014 00,33205,014,00,,33205,332050014000,33,205,02,笠岡市２区,,,,,,*
,岡山県,笠岡市,小平井,33205 015 00,33205,015,00,,33205,332050015000,33,205,02,笠岡市２区,,,笠岡出入口,,,*
,岡山県,笠岡市,笠岡,33205 016 00,33205,016,00,,33205,332050016000,33,205,01,笠岡市１区,,笠岡シーサイドモール,笠岡港,笠岡中央病院,,*
,岡山県,笠岡市,春日台,33205 017 00,33205,017,00,,33205,332050017000,33,205,01,笠岡市１区,,,,,,*
,岡山県,笠岡市,金浦,33205 018 00,33205,018,00,,33205,332050018000,33,205,02,笠岡市２区,,,,,,*
,岡山県,笠岡市,カブト中央町,33205 019 00,33205,019,00,,33205,332050019000,33,205,04,笠岡市４区,,,,,,*
,岡山県,笠岡市,カブト西町,33205 020 00,33205,020,00,,33205,332050020000,33,205,04,笠岡市４区,,,,,,*
,岡山県,笠岡市,カブト東町,33205 021 00,33205,021,00,,33205,332050021000,33,205,04,笠岡市４区,,,,,,*
,岡山県,笠岡市,カブト南町,33205 022 00,33205,022,00,,33205,332050022000,33,205,04,笠岡市４区,,,道の駅笠岡ベイファーム,,,*
,岡山県,笠岡市,北木島町,33205 023 00,33205,023,00,,33205,332050023000,33,205,04,笠岡市４区,,,,,,*
,岡山県,笠岡市,九番町,33205 024 00,33205,024,00,,33205,332050024000,33,205,01,笠岡市１区,,,,,,*
,岡山県,笠岡市,鋼管町,33205 025 00,33205,025,00,,33205,332050025000,33,205,04,笠岡市４区,,,,,,*
,岡山県,笠岡市,甲弩,33205 026 00,33205,026,00,,33205,332050026000,33,205,03,笠岡市３区,,,,,,*
,岡山県,笠岡市,神島,33205 027 00,33205,027,00,,33205,332050027000,33,205,04,笠岡市４区,,,,,,*
,岡山県,笠岡市,神島外浦,33205 028 00,33205,028,00,,33205,332050028000,33,205,04,笠岡市４区,,,,,,*
,岡山県,笠岡市,五番町,33205 029 00,33205,029,00,,33205,332050029000,33,205,01,笠岡市１区,,,,,,*
,岡山県,笠岡市,三番町,33205 030 00,33205,030,00,,33205,332050030000,33,205,01,笠岡市１区,,,,,,*
,岡山県,笠岡市,篠坂,33205 031 00,33205,031,00,,33205,332050031000,33,205,02,笠岡市２区,,,篠坂パーキングエリア,,,*
,岡山県,笠岡市,十一番町,33205 032 00,33205,032,00,,33205,332050032000,33,205,01,笠岡市１区,,,,,,*
,岡山県,笠岡市,十番町,33205 033 00,33205,033,00,,33205,332050033000,33,205,01,笠岡市１区,,,,,,*
,岡山県,笠岡市,白石島,33205 034 00,33205,034,00,,33205,332050034000,33,205,04,笠岡市４区,,,,,,*
,岡山県,笠岡市,城見台,33205 035 00,33205,035,00,,33205,332050035000,33,205,02,笠岡市２区,,,,,,*
,岡山県,笠岡市,新賀,33205 036 00,33205,036,00,,33205,332050036000,33,205,03,笠岡市３区,,,,,,*
,岡山県,笠岡市,新横島,33205 037 00,33205,037,00,,33205,332050037000,33,205,04,笠岡市４区,,,,,,*
,岡山県,笠岡市,関戸,33205 038 00,33205,038,00,,33205,332050038000,33,205,03,笠岡市３区,,,,,,*
,岡山県,笠岡市,園井,33205 039 00,33205,039,00,,33205,332050039000,33,205,01,笠岡市１区,,,,ももの里病院,,*
,岡山県,笠岡市,高島,33205 040 00,33205,040,00,,33205,332050040000,33,205,04,笠岡市４区,,,,,,*
,岡山県,笠岡市,拓海町,33205 041 00,33205,041,00,,33205,332050041000,33,205,04,笠岡市４区,,,,,,*
,岡山県,笠岡市,中央町,33205 042 00,33205,042,00,,33205,332050042000,33,205,01,笠岡市１区,,,,笠岡市役所,,*
,岡山県,笠岡市,富岡,33205 043 00,33205,043,00,,33205,332050043000,33,205,01,笠岡市１区,,笠岡モール,ＪＲ笠岡駅,,,*
,岡山県,笠岡市,七番町,33205 044 00,33205,044,00,,33205,332050044000,33,205,01,笠岡市１区,,,,,,*
,岡山県,笠岡市,西大島,33205 045 00,33205,045,00,,33205,332050045000,33,205,04,笠岡市４区,,,,,,*
,岡山県,笠岡市,西大島新田,33205 046 00,33205,046,00,,33205,332050046000,33,205,04,笠岡市４区,,,,,,*
,岡山県,笠岡市,西大戸,33205 047 00,33205,047,00,,33205,332050047000,33,205,02,笠岡市２区,,,,,,*
,岡山県,笠岡市,西茂平,33205 048 00,33205,048,00,,33205,332050048000,33,205,02,笠岡市２区,,,,,,*
,岡山県,笠岡市,二番町,33205 049 00,33205,049,00,,33205,332050049000,33,205,01,笠岡市１区,,,,,,*
,岡山県,笠岡市,入田,33205 050 00,33205,050,00,,33205,332050050000,33,205,02,笠岡市２区,,,,,,*
,岡山県,笠岡市,走出,33205 051 00,33205,051,00,,33205,332050051000,33,205,03,笠岡市３区,,,,,,*
,岡山県,笠岡市,八番町,33205 052 00,33205,052,00,,33205,332050052000,33,205,01,笠岡市１区,,,,,,*
,岡山県,笠岡市,東大戸,33205 053 00,33205,053,00,,33205,332050053000,33,205,02,笠岡市２区,,,,,,*
,岡山県,笠岡市,飛島,33205 054 00,33205,054,00,,33205,332050054000,33,205,04,笠岡市４区,,,,,,*
,岡山県,笠岡市,広浜,33205 055 00,33205,055,00,,33205,332050055000,33,205,01,笠岡市１区,,,,,,*
,岡山県,笠岡市,平成町,33205 056 00,33205,056,00,,33205,332050056000,33,205,04,笠岡市４区,,,,,,*
,岡山県,笠岡市,馬飼,33205 057 00,33205,057,00,,33205,332050057000,33,205,01,笠岡市１区,,,,,,*
,岡山県,笠岡市,真鍋島,33205 058 00,33205,058,00,,33205,332050058000,33,205,04,笠岡市４区,,,,,,*
,岡山県,笠岡市,緑町,33205 059 00,33205,059,00,,33205,332050059000,33,205,01,笠岡市１区,,,,,,*
,岡山県,笠岡市,港町,33205 060 00,33205,060,00,,33205,332050060000,33,205,04,笠岡市４区,,,,,,*
,岡山県,笠岡市,みの越,33205 061 00,33205,061,00,,33205,332050061000,33,205,03,笠岡市３区,,,笠岡中央内陸工業団地,,,*
,岡山県,笠岡市,美の浜,33205 062 00,33205,062,00,,33205,332050062000,33,205,04,笠岡市４区,,,,,,*
,岡山県,笠岡市,六島,33205 063 00,33205,063,00,,33205,332050063000,33,205,04,笠岡市４区,,,,,,*
,岡山県,笠岡市,用之江,33205 064 00,33205,064,00,,33205,332050064000,33,205,02,笠岡市２区,,,,笠岡市立城見小学校,,*
,岡山県,笠岡市,茂平,33205 065 00,33205,065,00,,33205,332050065000,33,205,02,笠岡市２区,,,,,,*
,岡山県,笠岡市,山口,33205 066 00,33205,066,00,,33205,332050066000,33,205,03,笠岡市３区,,,,新吉中学校,,*
,岡山県,笠岡市,横島,33205 067 00,33205,067,00,,33205,332050067000,33,205,04,笠岡市４区,,カブトガニ博物館,,笠岡第一病院、岡山県立笠岡工業高等学校,,*
